temp,a,b
20.0,27.66876876229439,-2.2122443039780766
30.0,26.811967363608343,-2.0678025156550515
40.0,26.094109226441933,-1.9472770490820166
50.0,25.48218853318376,-1.8449475815502574
60.0,24.960488582173806,-1.7580985174592794
70.0,24.496024405605336,-1.681009278808291
