DopingConcentration(C1(nodnum1_msh)) X,DopingConcentration(C1(nodnum1_msh)) Y
57.361229,-1e+15
57.941219,-1e+15
57.947315,-1e+15
58.527302,-1e+15
58.533398,-1e+15
59.113388,-1e+15
59.119484,-1e+15
59.699471,-1e+15
59.705566,-1e+15
60.285553,-1e+15
60.291649,-1e+15
60.871639,-1e+15
60.877735,-1e+15
61.457722,-1e+15
61.463818,-1e+15
62.043808,-1e+15
62.049904,-1e+15
62.62989,-1e+15
62.635986,-1e+15
63.215973,-1e+15
63.222069,-1e+15
63.802059,-1e+15
63.808155,-1e+15
64.388145,-1e+15
64.394241,-1e+15
64.974228,-1e+15
64.980324,-1e+15
65.56031,-1e+15
65.566406,-1e+15
66.146393,-1e+15
66.152489,-1e+15
66.732475,-1e+15
66.738571,-1e+15
67.318565,-1e+15
67.324661,-1e+15
67.904648,-1e+15
67.910744,-1e+15
68.49073,-1e+15
68.496826,-1e+15
69.076813,-1e+15
69.082909,-1e+15
69.662895,-1e+15
69.668991,-1e+15
70.248985,-1e+15
70.255081,-1e+15
70.835068,-1e+15
70.841164,-1e+15
71.42115,-1e+15
71.427246,-1e+15
72.007233,-1e+15
72.013329,-1e+15
72.593315,-1e+15
72.599411,-1e+15
73.179405,-1e+15
73.185501,-1e+15
73.765488,-1e+15
73.771584,-1e+15
74.35157,-1e+15
74.357666,-1e+15
74.937653,-1e+15
74.943748,-1e+15
75.523735,-1e+15
75.529831,-1e+15
76.109825,-1e+15
76.115921,-1e+15
76.695908,-1e+15
76.702003,-1e+15
77.28199,-1e+15
77.288086,-1e+15
77.868073,-1e+15
77.874168,-1e+15
78.454155,-1e+15
78.460251,-1e+15
79.040245,-1e+15
79.046341,-1e+15
79.626328,-1e+15
79.632423,-1e+15
80.21241,-1e+15
80.218506,-1e+15
80.798492,-1e+15
80.804588,-1e+15
81.384575,-1e+15
81.390671,-1e+15
81.970665,-1e+15
81.976761,-1e+15
82.556747,-1e+15
82.562843,-1e+15
83.14283,-1e+15
83.148926,-1e+15
83.728912,-1e+15
83.735008,-1e+15
84.314995,-1e+15
84.321091,-1e+15
84.901085,-1e+15
84.907181,-1e+15
85.487167,-1e+15
85.493263,-1e+15
86.07325,-1e+15
86.079346,-1e+15
86.659332,-1e+15
86.665428,-1e+15
87.245415,-1e+15
87.251511,-1e+15
87.831505,-1e+15
87.837601,-1e+15
88.417587,-1e+15
88.423683,-1e+15
89.00367,-1e+15
89.009766,-1e+15
89.589752,-1e+15
89.595848,-1e+15
90.175835,-1e+15
90.181931,-1e+15
90.761925,-1e+15
90.768021,-1e+15
91.348007,-1e+15
91.354103,-1e+15
91.93409,-1e+15
91.940186,-1e+15
92.520172,-1e+15
92.526268,-1e+15
93.106255,-1e+15
93.11235,-1e+15
93.692345,-1e+15
93.698441,-1e+15
94.278427,-1e+15
94.284523,-1e+15
94.86451,-1e+15
94.870605,-1e+15
95.450592,-1e+15
95.456688,-1e+15
96.036674,-1e+15
96.04277,-1e+15
96.622765,-1e+15
96.62886,-1e+15
97.208847,-1e+15
97.214943,-1e+15
97.79493,-1e+15
97.801025,-1e+15
98.381012,-1e+15
98.387108,-1e+15
98.967094,-1e+15
98.97319,-1e+15
99.553185,-1e+15
99.55928,-1e+15
100.13927,-1e+15
100.14536,-1e+15
100.72535,-1e+15
100.73145,-1e+15
101.31143,-1e+15
101.31753,-1e+15
101.89751,-1e+15
101.90361,-1e+15
102.4836,-1e+15
102.4897,-1e+15
103.06969,-1e+15
103.07578,-1e+15
103.65577,-1e+15
103.66187,-1e+15
104.24185,-1e+15
104.24795,-1e+15
104.82793,-1e+15
104.83403,-1e+15
105.41402,-1e+15
105.42012,-1e+15
106.00011,-1e+15
106.0062,-1e+15
106.58619,-1e+15
106.59229,-1e+15
107.17227,-1e+15
107.17837,-1e+15
107.75835,-1e+15
107.76445,-1e+15
108.34444,-1e+15
108.35054,-1e+15
108.93053,-1e+15
108.93662,-1e+15
109.51661,-1e+15
109.52271,-1e+15
110.10269,-1e+15
110.10879,-1e+15
110.68877,-1e+15
110.69487,-1e+15
111.27486,-1e+15
111.28096,-1e+15
111.86095,-1e+15
111.86704,-1e+15
112.44703,-1e+15
112.45312,-1e+15
113.03311,-1e+15
113.03921,-1e+15
113.61919,-1e+15
113.62529,-1e+15
114.20528,-1e+15
114.21138,-1e+15
114.79137,-1e+15
114.79746,-1e+15
115.37745,-1e+15
115.38354,-1e+15
115.96353,-1e+15
115.96963,-1e+15
116.54961,-1e+15
116.55571,-1e+15
117.1357,-1e+15
117.1418,-1e+15
117.72179,-1e+15
117.72788,-1e+15
118.30787,-1e+15
118.31396,-1e+15
118.89395,-1e+15
118.90005,-1e+15
119.48003,-1e+15
119.48613,-1e+15
120.06612,-1e+15
120.07222,-1e+15
120.65221,-1e+15
120.6583,-1e+15
121.23829,-1e+15
121.24438,-1e+15
121.82437,-1e+15
121.83047,-1e+15
122.41045,-1e+15
122.41655,-1e+15
122.99654,-1e+15
123.00264,-1e+15
123.58263,-1e+15
123.58872,-1e+15
124.16871,-1e+15
124.1748,-1e+15
124.75479,-1e+15
124.76089,-1e+15
125.34087,-1e+15
125.34697,-1e+15
125.92696,-1e+15
125.93306,-1e+15
126.51305,-1e+15
126.51914,-1e+15
127.09913,-1e+15
127.10522,-1e+15
127.68521,-1e+15
127.69131,-1e+15
128.2713,-1e+15
128.27739,-1e+15
128.85739,-1e+15
128.86348,-1e+15
129.44347,-1e+15
129.44955,-1e+15
130.02956,-1e+15
130.03564,-1e+15
130.61565,-1e+15
130.62173,-1e+15
131.20172,-1e+15
131.20781,-1e+15
131.78781,-1e+15
131.7939,-1e+15
132.37389,-1e+15
132.37997,-1e+15
132.95998,-1e+15
132.96606,-1e+15
133.54607,-1e+15
133.55215,-1e+15
134.13214,-1e+15
134.13823,-1e+15
134.71823,-1e+15
134.72432,-1e+15
135.30431,-1e+15
135.31039,-1e+15
135.8904,-1e+15
135.89648,-1e+15
136.47649,-1e+15
136.48257,-1e+15
137.06256,-1e+15
137.06865,-1e+15
137.64865,-1e+15
137.65474,-1e+15
138.23473,-1e+15
138.24081,-1e+15
138.82082,-1e+15
138.8269,-1e+15
139.40691,-1e+15
139.41299,-1e+15
139.99298,-1e+15
139.99907,-1e+15
140.57907,-1e+15
